series,"01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023"
United States,88.88,77.27,95.22,96.1,106.18,112.46,104.35,105.26,102.2,98.92,90.22,171.34,92.97,86.07,98.75,99.36,107.82,114.52,105.12,103.28,102.15,101.99,92.09,166.96,93.63,84.18,94.77,98.76,105.7,101.09,104.21,101.29,100.59,100.92,91.8,176.81,89.83,84.34,94.51,95.1,106.85,98.86,101.78,101.41,100.17,97.96,87.56,177.8,89.18,81.07,92.78,96.26,103.96,98.27,101.1,101.15,100.88,95.76,87.46,176.48,91.91,86.09,91.06,81.38,97.66,100.59,104.12,104.41,95.24,96.94,88.21,170.55,95.12,85.72,98.81,102.03,114.39,107.9,113.9,113.7,113.68,116.24,102.31,104.65,97,93.2,106.79,107.41,117.24,109.8,113.32,111.94,112.15,112.26,98.88,125.99,109.15,98.75,110.31,113.56,123.09,112.71,118.05,117.77,115.85,117.21,103.53,119.34
United States Clearances,45.4,40.93,47.91,47.78,50.72,55,51.01,50.56,49.68,48.14,44.63,89.17,46.13,44.09,49.38,48.2,51.96,55.6,49.62,50.33,48.99,47.93,44.34,86.27,46.39,42,47.6,47.37,51.11,53.19,49.87,49.74,48.54,48.75,44.45,91.55,45.04,41.7,46.12,45.59,50.26,45.71,47.93,47.57,46.32,46.07,41.19,89.72,43.73,39.84,44.39,45.61,48.62,45.83,46.88,46.98,45.95,44.72,40.31,88.51,43.86,40.6,42.79,38.52,43.81,42.33,45.48,45.18,41.37,41.4,37.26,82.57,40.37,37.72,43.42,42.98,47.01,45.66,46.76,46.75,46.42,46.95,42.59,43.36,40.75,39.11,45.17,43.95,47.79,45.2,46.43,47.25,45.78,45.58,41.5,53.52,46.82,42.1,47.21,46.98,50.84,47.07,48.91,49.83,47.87,48.7,44.18,51.32
