series,"01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024"
California,86.38,80.32,93.76,89.31,93.19,93.53,97.56,99.27,96.66,96.54,83.72,84.52,87.69,86.39,90.1,92.96,99.52,96.54,99.54,97.32,95.15,94.96,87.83,86.88,88.75,81.56,95.41,92.57,100.78,96.97,101.61,100.84,96.26,99.2,90.45,88.88,92.41,84.36,91.64,94.59,101.74,97.05,101.81,101.78,97.24,97.86,88.13,91.26,87.76,79.97,93.22,93.16,98.06,96.96,101.76,102,98.36,96.94,85.95,88.14,89.82,87.13,87.69,80.86,90.69,91.54,93.13,97.74,92.24,94.78,83.53,84.41,67.3,64.51,71.17,73.22,90.03,87.05,95.89,87.87,83.54,86.53,80.49,76.93,91.45,88.31,101.4,98.44,102.97,102.84,104.76,107.81,106.11,106.55,90.4,92.29,102.09,88.16,100.68,104.16,110.07,104.35,112.08,111.69,108.77,116.82,95.39,97.82,
California Clearances,45.37,44.42,50.44,47.63,47.25,49.66,50.58,50.02,50.77,48.5,43.99,47.87,46.85,47.04,47.87,47.5,49.23,49.2,46.95,49.59,48.15,46.02,44.14,43.63,45.37,40.25,47.57,46.96,50.88,48.74,47.49,51.43,48.77,49.34,43.91,44.57,46.57,41.89,46.1,47.77,50.47,46.85,50.54,51.44,47.35,50.44,44.09,45.24,45.7,42.3,45.66,47.67,49.81,48.6,50.49,50.4,47.29,48.14,41.67,43.03,45.22,43.97,47.03,46.1,45.68,43.38,46.88,47,45.96,44.82,37.46,41.57,18.72,24.14,22.87,22.18,26.39,26.35,30.18,29.18,30.86,30.2,28.83,32.44,40.81,38.9,46.26,42.34,45.8,46.17,47.24,50.54,46.01,45.38,41.17,40.89,43.93,40.29,44.5,43.39,47.52,45.17,48.86,49.3,47.13,47.97,41.69,43.76,
