series,"01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024"
United States,280049,243325,299961,302252,333651,352277,326647,330141,319309,310170,281928,534053,294415,272326,312527,314101,340615,361938,331922,326057,322149,321347,290028,525704,298603,267926,301692,314265,336172,321046,330777,321369,318121,319520,289748,557853,290345,272117,304894,306526,344172,318488,327582,326224,321881,315051,281319,570648,286295,260029,297763,308804,333353,314649,315956,322637,319163,303186,276687,558057,295367,275870,291231,260072,311846,321027,331899,331995,302114,306393,279676,540494,232029,208917,245147,254104,285095,273328,288351,289678,290252,299605,263357,271182,301400,291017,337978,339499,370620,346848,357764,352125,350934,350657,308672,395023,343210,309337,347464,357475,387293,354322,369541,369745,362999,366808,321841,368964,,,,,,,,,,,,
United States Clearances,143053,128907,150925,150269,159366,172288,159671,158594,155230,150960,139467,277923,146094,139518,156259,152383,164161,175713,156674,158894,154478,151019,139645,271619,147936,133699,151537,150737,162538,168921,158285,157811,153499,154338,140285,288866,145579,134555,148775,146936,161896,147263,154270,153031,148837,148173,132348,287958,140378,127780,142462,146324,155887,146736,146500,149850,145386,141579,127521,279888,140936,130114,136859,123096,139879,135104,144983,143661,131231,130861,118136,261657,98484,91930,107719,107055,117162,115665,118390,119097,118508,121015,109625,112364,126611,122134,142972,138920,151094,142774,146577,148631,143264,142367,129563,167794,147217,131880,148721,147880,159981,147970,153099,156446,149980,152398,137339,158671,,,,,,,,,,,,
